num,codigo,titulo,descripcion,url_relativa,url_completa
214,PAGOFEEUSANDOPASARELA,Pago de fee usando pasarela de pago,Pago de fee usando pasarela de pago,params/214_Pago_de_fee_usando_pasarela_de_pago.html,https://pacardenaz.github.io/parametros-manual/params/214_Pago_de_fee_usando_pasarela_de_pago.html
215,ENVIAAGENDAEMISION,Agregue su viaje (vuelos) en Google Calendar o Outlook,Agregue su viaje (vuelos) en Google Calendar o Outlook,params/215_Agregue_su_viaje_(vuelos)_en_Google_Calendar_o_Outlook.html,https://pacardenaz.github.io/parametros-manual/params/215_Agregue_su_viaje_(vuelos)_en_Google_Calendar_o_Outlook.html
216,MOSTRARVALORDISCRIMINADO,Mostrar valor indicado en la disponibilidad o al valor total,Mostrar valor indicado en la disponibilidad o al valor total,params/216_Mostrar_valor_indicado_en_la_disponibilidad_o_al_valor_total.html,https://pacardenaz.github.io/parametros-manual/params/216_Mostrar_valor_indicado_en_la_disponibilidad_o_al_valor_total.html
217,PERMITECLIENTECAMBIARCLAVE,Permite Cambiar Clave Cliente,Si el valor del parámetro es (N) no permite cambiar contraseña si son Tipo usuarios (C) clientes.,params/217_Permite_Cambiar_Clave_Cliente.html,https://pacardenaz.github.io/parametros-manual/params/217_Permite_Cambiar_Clave_Cliente.html
218,PERMITEACTUALIZARPERFILCLIENTE,Permite Actualizar Perfil Cliente,Permite Actualizar Perfil Cliente,params/218_Permite_Actualizar_Perfil_Cliente.html,https://pacardenaz.github.io/parametros-manual/params/218_Permite_Actualizar_Perfil_Cliente.html
219,VISUALIZARETRIEVEJERARQUIA,Ver reserva sólo su jerarquía,"Parámetro para definir si se permite visualizar una reserva de hotel o de autos haciendo retrieve, se debe tener en cuenta los siguientes valores ya que de acuerdo a su configuración, se reflejaran reservas de otras entidades que no pertenezcan al árbol o a la entidad correspondiente, depende de la ",params/219_Ver_reserva_sólo_su_jerarquía.html,https://pacardenaz.github.io/parametros-manual/params/219_Ver_reserva_sólo_su_jerarquía.html
220,B2C2_DeltaFechaTickets,Diferencia de dias buscador Tickets,Diferencia de dias buscador Tickets,params/220_Diferencia_de_dias_buscador_Tickets.html,https://pacardenaz.github.io/parametros-manual/params/220_Diferencia_de_dias_buscador_Tickets.html
221,HEREDARCONEXIONESENTIDADESPADRE,Hereda conexiones entidades padres,Hereda conexiones entidades padres,params/221_Hereda_conexiones_entidades_padres.html,https://pacardenaz.github.io/parametros-manual/params/221_Hereda_conexiones_entidades_padres.html
222,SOLOHEREDACONEXIONESNIVELPADRE,Solo hereda conexiones del padre,Solo hereda conexiones del padre,params/222_Solo_hereda_conexiones_del_padre.html,https://pacardenaz.github.io/parametros-manual/params/222_Solo_hereda_conexiones_del_padre.html
223,USATOURCODEBASICO,Usa Tourcode Basico,"Este parámetro indica si la entidad utiliza Tour Code básico y comisión, para que se refleje el tour code y la comisión configurada en la entidad, es necesario tener cargado este parámetro con valor “Si” de lo contrario no se reflejara dicha comisión al momento de emitir el tiquete.",params/223_Usa_Tourcode_Basico.html,https://pacardenaz.github.io/parametros-manual/params/223_Usa_Tourcode_Basico.html
224,FILTROSELECCIONADOLISTARESERVAS,Filtros lista de reservas,Parámetro para definir cuáles son las opciones por defecto que saldrán una vez se ingrese al módulo de reservas,params/224_Filtros_lista_de_reservas.html,https://pacardenaz.github.io/parametros-manual/params/224_Filtros_lista_de_reservas.html
225,MOSTRARINFOADICIONALLISTARESERVAS,Mostrar información adicional en listado de reservas,Mostrar información adicional en listado de reservas,params/225_Mostrar_información_adicional_en_listado_de_reservas.html,https://pacardenaz.github.io/parametros-manual/params/225_Mostrar_información_adicional_en_listado_de_reservas.html
226,MANEJAARCHIVOSADJUNTOS,Mostrar seccion de adjuntos,Parámetro para definir se si se refleja la sección para adjuntar archivos en el proceso de la reserva aérea.,params/226_Mostrar_seccion_de_adjuntos.html,https://pacardenaz.github.io/parametros-manual/params/226_Mostrar_seccion_de_adjuntos.html
227,OBLIGAARCHIVOSADJUNTOS,Obliga Adjuntos,Parámetro para definir si es obligatorio adjuntar un archivo en la reserva que se está realizando,params/227_Obliga_Adjuntos.html,https://pacardenaz.github.io/parametros-manual/params/227_Obliga_Adjuntos.html
228,NUMEROMAXIMOADJUNTOS,Máximo número de adjuntos,Parámetro para definir el número máximo de adjunto que se pueden cargar en la reserva.,params/228_Máximo_número_de_adjuntos.html,https://pacardenaz.github.io/parametros-manual/params/228_Máximo_número_de_adjuntos.html
229,PROVEEDORCHAT,Proveedor del chat,"Parámetro para indicar cuál es el proveedor del chat que se va a configurar, actualmente está disponible el chat de Zopim.",params/229_Proveedor_del_chat.html,https://pacardenaz.github.io/parametros-manual/params/229_Proveedor_del_chat.html
230,MANEJACHAT,Llave proveedor chat,"Parámetro para configurar la llave del chat, dicha llave se debe sacar directamente de la página del proveedor del chat, ver imagen a continuación:",params/230_Llave_proveedor_chat.html,https://pacardenaz.github.io/parametros-manual/params/230_Llave_proveedor_chat.html
